title,link,address
RS At-Turots Al-Islamy,https://lewatmana.com/lokasi/21842/rs-at-turots-al-islamy/,"JL. Klaci I, Margoluwih, Seyegan Kec. Sleman, Sleman, Daerah Istimewa Yogyakarta, Indonesia 55561"
RS Aura Syifa,https://lewatmana.com/lokasi/39202/rs-aura-syifa/,"Jl. Joyoboyo 42 Dlopo Kec. Ngasem, Kediri, Jawa Timur, Indonesia 64182"
RS Awal Bros Bekasi,https://lewatmana.com/lokasi/37765/rs-awal-bros-bekasi/,"Jl. KH. Noer Ali Kav. 17-18 Kalimalang, Bekasi, Jawa Barat, Indonesia 17144"
RS Awal Bros Pekanbaru,https://lewatmana.com/lokasi/46187/rs-awal-bros-pekanbaru/,"Jl. Jenderal Sudirman, Tengkerang Sel., Kec. Bukit Raya, Kota Pekanbaru, Riau, Pekanbaru, Riau, Indonesia 28128"
RS Awal Bros Ujung Batu,https://lewatmana.com/lokasi/46181/rs-awal-bros-ujung-batu/,"Jl. Jendral Sudirman, Ujung Batu Tim., Ujung Batu, Kabupaten Rokan Hulu, Riau, Rokan Hulu, Riau, Indonesia 28557"
RS Aulia Pekanbaru,https://lewatmana.com/lokasi/46185/rs-aulia-pekanbaru/,"Jl. HR. Soebrantas Panam No.63, Sidomulyo Bar., Kec. Tampan, Kota Pekanbaru, Riau, Pekanbaru, Riau, Indonesia 28291"
RS Awal Bros Batam,https://lewatmana.com/lokasi/46130/rs-awal-bros-batam/,"Jl. Gajah Mada No.Kav. 1, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau, Batam, Kepulauan Riau, Indonesia 29422"
RS Awal Bros Panam,https://lewatmana.com/lokasi/46186/rs-awal-bros-panam/,"Jl. HR. Soebrantas Panam Panam No.88, Tuah Karya, Kec. Tampan, Kota Pekanbaru, Riau, Pekanbaru, Riau, Indonesia 28293"
RS Awal Bros Tangerang,https://lewatmana.com/lokasi/37752/rs-awal-bros-tangerang/,"Jl. MH. Thamrin No.3 Cikokol, Tangerang, Banten, Indonesia 15117"
RS Azra,https://lewatmana.com/lokasi/45876/rs-azra/,"Jl. Raya Pajajaran No.219, Bantarjati, Bogor Utara, Kota Bogor, Jawa Barat, Bogor, Jawa Barat, Indonesia 16153"
RSB Adi Guna,https://lewatmana.com/lokasi/38210/rsb-adi-guna/,"JL. Alon-Alon Rangkah, Surabaya, Jawa Timur, Indonesia 60135"
RS Baiturrahim Jambi,https://lewatmana.com/lokasi/46059/rs-baiturrahim-jambi/,"Jalan Profesor, Jl. Prof. DR. Moh. Yamin No.30, Lb. Bandung, Kec. Jelutung, Kota Jambi, Jambi, Jambi, Jambi, Indonesia 36124"
RS Baladhika Husada Jember,https://lewatmana.com/lokasi/46013/rs-baladhika-husada-jember/,"Jl Panglima Besar Sudirman No.45, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur, Jember, Jawa Timur, Indonesia 68118"
RS Bala Keselamatan Bokor Malang,https://lewatmana.com/lokasi/45998/rs-bala-keselamatan-bokor-malang/,"Jl. Jenderal Ahmad Yani, Turen, Purwodadi, Blimbing, Malang, Jawa Timur, Malang, Jawa Timur, Indonesia 65125"
RS Balikpapan Baru,https://lewatmana.com/lokasi/46103/rs-balikpapan-baru/,"Jl MT. Haryono, Kompleks Balikpapan Baru Bl A/3A 7-9, Damai, Kota Balikpapan, Kalimantan Timur, Balikpapan, Kalimantan Timur, Indonesia 76114"
RS Baitul Hikmah Kendal,https://lewatmana.com/lokasi/38914/rs-baitul-hikmah-kendal/,"Jl. Soekarno Hatta KM 12 Kendal, Kendal, Jawa Tengah, Indonesia 51356"
RS Bakti Timah Karimun,https://lewatmana.com/lokasi/46127/rs-bakti-timah-karimun/,"Jl. Raja Oesman No.214, Tlk. Uma, Tebing, Kabupaten Karimun, Kepulauan Riau, Karimun, Kepulauan Riau, Indonesia 29663"
RSB Al-Afiah,https://lewatmana.com/lokasi/38592/rsb-al-afiah/,"Jl. Siti Jenab No.49 Kec. Cianjur, Cianjur, Jawa Barat, Indonesia 43211"
RS Bali Jimbaran,https://lewatmana.com/lokasi/46037/rs-bali-jimbaran/,"Jl. Raya Kampus Unud No.52, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali, Badung, Bali, Indonesia 80361"
RS Balimbingan,https://lewatmana.com/lokasi/46302/rs-balimbingan/,"Balimbingan, Tanah Jawa, Kabupaten Simalungun, Sumatera Utara, Simalungun, Sumatera Utara, Indonesia 21181"
RS Balimed,https://lewatmana.com/lokasi/39323/rs-balimed/,"Jl.Mahendradatta No.57,Denpasar Bali, Denpasar, Bali, Indonesia 80223"
RS Balimed Karangasem,https://lewatmana.com/lokasi/39288/rs-balimed-karangasem/,"Jl. Nenas Kecicang Bebandem Karangasem, Karangasem, Bali, Indonesia 80813"
RS Bali Royal,https://lewatmana.com/lokasi/39324/rs-bali-royal/,"JL. Tantular No.6 Denpasar, Denpasar, Bali, Indonesia 80361"
RS Bangli Medika Canti,https://lewatmana.com/lokasi/39258/rs-bangli-medika-canti/,"Jl. Tirta Giri Kutri, LC Subak Aya, Bebalang, Bangli, Bali, Indonesia 80613"
RSB Annisa Cikarang,https://lewatmana.com/lokasi/37788/rsb-annisa-iv/,"JL. Cibarusah Raya, No. 69, Desa Serang Baru, Serang Sukadami Cikarang, Bekasi, Jawa Barat, Indonesia 17530"
RS Balimed Buleleng,https://lewatmana.com/lokasi/46039/rs-balimed-buleleng/,"Jl. Gn. Lempuyang No.9X, Banjar Tegal, Kec. Buleleng, Kabupaten Buleleng, Bali, Buleleng, Bali, Indonesia 81119"
RS Balimed Negara,https://lewatmana.com/lokasi/46043/rs-balimed-negara/,"Jl. Hayam Wuruk No.23, Kel, Dangin Tukadaya, Kec. Jembrana, Kabupaten Jembrana, Bali, Jembrana, Bali, Indonesia 82218"
RSB Alvernia Agusta,https://lewatmana.com/lokasi/25018/rsb-alvernia-agusta/,"Jl. Pemuda No. 80, Jakarta Timur, DKI Jakarta, Indonesia 13220"
RSB Annisa,https://lewatmana.com/lokasi/38853/rsb-annisa/,"Jl. Gatot Subroto 31 A Cilacap, Cilacap, Jawa Tengah, Indonesia 53223"
RS Banyumanik,https://lewatmana.com/lokasi/39112/rs-banyumanik/,"Jl. Bina Remaja Srondol No.61,Semarang, Semarang, Jawa Tengah, Indonesia 50363"
RS Baptis Batu,https://lewatmana.com/lokasi/39404/rs-baptis-batu/,"Jl. Raya Tlekung No.1 Bumiaji Kota Batu, Batu, Jawa Timur, Indonesia 65314"
RS Baptis Kediri,https://lewatmana.com/lokasi/39415/rs-baptis-kediri/,"Jl. Brigjen (pol) I.B.H. Pranoto 1-7 Kediri, Kediri, Jawa Timur, Indonesia 64102"
RSB Avisena,https://lewatmana.com/lokasi/25019/rsb-avisena/,"Jl. H.Rohimin No. 30, Jakarta Selatan, DKI Jakarta, Indonesia 12250"
